[710400.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.71864, 0.16584, '', '']
[718900.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.8292, 0.22112, '', '']
[723500.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[724000.0, 1000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[731880.0, 10.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.60808, 0.11056, '', '']
[734000.0, 40.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.76896, 0.11056, '', '']
[734100.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.071864, 0.038696, '', '']
[739790.0, 150.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.60808, 0.16584, '', '']
[742900.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.38696, 0.11056, '', '']
[753300.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.33168, 0.11056, '', '']
[756800.0, 400.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.33168, 0.11056, '', '']
[779670.0, 40.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.76896, 0.16584, '', '']
[782110.0, 130.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.33168, 0.05528, '', '']
[789700.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.44224, 0.11056, '', '']
[791700.0, 900.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.11056, '', '']
[792600.0, 900.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.11056, '', '']
[792900.0, 900.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.11056, '', '']
[794700.0, 900.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.05032, 0.2764, '', '']
[795900.0, 900.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.11056, '', '']
[800540.0, 50.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.1056, 0.2764, '', '']
[805100.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.05528, '', '']
[816340.0, 80.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.77392, 0.05528, '', '']
[819300.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.11056, '', '']
[827050.0, 90.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.5528, 0.11056, '', '']
[851700.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[859000.0, 1000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[863955.0, 9.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 15.6442, 0.33168, '', '']
[882700.0, 50.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 2.2112, 0.16584, '', '']
[884800.0, 60.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.99504, 0.16584, '', '']
[884800.0, 60.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.99504, 0.16584, '', '']
[888530.0, 150.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.8292, 0.16584, '', '']
[889900.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.05528, '', '']
[891400.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.05032, 0.16584, '', '']
[912671.0, 4.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 55.28, 0.16584, '', '']
[914774.0, 12.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 10.9454, 0.22112, '', '']
[945200.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.60808, 0.11056, '', '']
[949200.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.66336, 0.16584, '', '']
[970500.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.33168, 0.16584, '', '']
[972640.0, 110.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.5528, 0.16584, '', '']
[978300.0, 40.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 4.86464, 0.16584, '', '']
[980260.0, 50.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.49256, 0.16584, '', '']
[995090.0, 20.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.49752, 0.16584, '', '']
[996100.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.38696, 0.2764, '', '']
[1007500.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.66336, 0.16584, '', '']
[1015100.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
